cluster_id,variant,alpha_topic,beta_pattern,delta_redundancy,summary_words,run82_target_words,absolute_budget_mismatch_pct,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_00023,full_run82,0.3,0.7,1.0,194,194,0.0,0.9696969696969697,0.14096916299559473,0.2461538461538462,0.14035087719298245,1.0,0.25316455696202533,0.4040404040404041,0.25316455696202533,1.0,0.10869565217391304,0.19607843137254902,0.10869565217391304,1.0,0.08620689655172414,0.15873015873015872,0.08620689655172414,1.0,0.08620689655172414,0.15873015873015872,1.0,1.0,1.0,0.0,0.08888888888888889,0.08620689655172414,0.08620689655172414,0.10869565217391304,0.3333333333333333,0.1,33,20,5,8,5
test_00023,no_topic,0.0,1.0,1.0,250,194,28.865979381443296,0.975609756097561,0.1762114537444934,0.29850746268656714,0.17543859649122806,1.0,0.22784810126582278,0.3711340206185567,0.22784810126582278,1.0,0.13043478260869565,0.23076923076923078,0.13043478260869565,1.0,0.10344827586206896,0.1875,0.10344827586206896,1.0,0.10344827586206896,0.1875,1.0,1.0,1.0,0.0,0.12222222222222222,0.10344827586206896,0.10344827586206896,0.13043478260869565,0.3333333333333333,0.1,41,18,6,11,6
test_00023,no_pattern,1.0,0.0,1.0,130,194,32.98969072164948,0.96,0.10572687224669604,0.1904761904761905,0.10526315789473684,1.0,0.0759493670886076,0.1411764705882353,0.0759493670886076,1.0,0.17391304347826086,0.29629629629629634,0.17391304347826086,1.0,0.13793103448275862,0.2424242424242424,0.13793103448275862,1.0,0.13793103448275862,0.2424242424242424,1.0,1.0,1.0,0.0,0.13333333333333333,0.13793103448275862,0.13793103448275862,0.17391304347826086,0.3333333333333333,0.3,25,6,8,12,8
test_00023,no_redundancy,0.3,0.7,0.0,251,194,29.381443298969074,1.0,0.14537444933920704,0.25384615384615383,0.14537444933920704,1.0,0.24050632911392406,0.38775510204081637,0.24050632911392406,1.0,0.17391304347826086,0.29629629629629634,0.17391304347826086,1.0,0.13793103448275862,0.2424242424242424,0.13793103448275862,1.0,0.13793103448275862,0.2424242424242424,0.875,1.0,0.875,0.125,0.15555555555555556,0.13793103448275862,0.13793103448275862,0.17391304347826086,0.3333333333333333,0.3,33,19,8,14,8
test_00030,full_run82,0.3,0.7,1.0,244,244,0.0,1.0,0.2905405405405405,0.450261780104712,0.2905405405405405,1.0,0.38636363636363635,0.5573770491803279,0.38636363636363635,1.0,0.4782608695652174,0.6470588235294118,0.4782608695652174,1.0,0.40625,0.5777777777777777,0.40625,1.0,0.40625,0.5777777777777777,0.6923076923076923,1.0,0.6923076923076923,0.3076923076923077,0.4666666666666667,0.40625,0.40625,0.4782608695652174,0.8333333333333334,0.5,43,17,13,21,13
test_00030,no_topic,0.0,1.0,1.0,272,244,11.475409836065573,1.0,0.34459459459459457,0.5125628140703518,0.34459459459459457,1.0,0.4090909090909091,0.5806451612903226,0.4090909090909091,0.75,0.391304347826087,0.5142857142857143,0.34615384615384615,0.8,0.375,0.5106382978723405,0.34285714285714286,0.8,0.375,0.5106382978723405,0.8,0.8,0.8,0.19999999999999996,0.4222222222222222,0.375,0.34285714285714286,0.391304347826087,0.8333333333333334,0.4,51,18,15,22,15
test_00030,no_pattern,1.0,0.0,1.0,225,244,7.786885245901639,1.0,0.25675675675675674,0.4086021505376344,0.25675675675675674,1.0,0.36363636363636365,0.5333333333333333,0.36363636363636365,1.0,0.43478260869565216,0.6060606060606061,0.43478260869565216,1.0,0.34375,0.5116279069767442,0.34375,1.0,0.34375,0.5116279069767442,1.0,1.0,1.0,0.0,0.4444444444444444,0.34375,0.34375,0.43478260869565216,0.5,0.4,38,16,11,20,11
test_00030,no_redundancy,0.3,0.7,0.0,471,244,93.0327868852459,1.0,0.4527027027027027,0.6232558139534884,0.4527027027027027,1.0,0.6590909090909091,0.7945205479452054,0.6590909090909091,0.9230769230769231,0.5217391304347826,0.6666666666666667,0.5,0.9411764705882353,0.5,0.6530612244897959,0.48484848484848486,0.9411764705882353,0.5,0.6530612244897959,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.05882352941176472,0.4666666666666667,0.5,0.48484848484848486,0.5217391304347826,0.8333333333333334,0.5,67,29,17,23,17
test_00042,full_run82,0.3,0.7,1.0,194,194,0.0,1.0,0.17365269461077845,0.2959183673469388,0.17365269461077845,1.0,0.3088235294117647,0.4719101123595506,0.3088235294117647,1.0,0.23684210526315788,0.38297872340425526,0.23684210526315788,1.0,0.2,0.33333333333333337,0.2,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.0,0.21518987341772153,0.2,0.2,0.23684210526315788,0.5454545454545454,0.2,29,21,11,17,11
test_00042,no_topic,0.0,1.0,1.0,232,194,19.587628865979383,1.0,0.2215568862275449,0.3627450980392157,0.2215568862275449,1.0,0.25,0.4,0.25,1.0,0.23684210526315788,0.38297872340425526,0.23684210526315788,1.0,0.2,0.33333333333333337,0.2,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.0,0.22784810126582278,0.2,0.2,0.23684210526315788,0.45454545454545453,0.3,37,17,11,18,11
