variant,metric,n,mean
full_run82,concept_f1,500,0.4519023559968738
full_run82,relation_f1,500,0.4456394252902082
full_run82,exact_triple_f1,500,0.40653266923851333
full_run82,soft_triple_f1,500,0.4090229933252515
full_run82,domain_range_pair_accuracy,500,0.9665963797640268
full_run82,edge_retention,500,0.2914614404306489
no_topic,concept_f1,185,0.5857159420995999
no_topic,relation_f1,185,0.5600668005299185
no_topic,exact_triple_f1,185,0.5261319087966599
no_topic,soft_triple_f1,185,0.528871213376308
no_topic,domain_range_pair_accuracy,185,0.9596360246360246
no_topic,edge_retention,185,0.40960648915923437
no_pattern,concept_f1,57,0.6133443544106126
no_pattern,relation_f1,57,0.6067691079343893
no_pattern,exact_triple_f1,57,0.5915514586454306
no_pattern,soft_triple_f1,57,0.5928798126485041
no_pattern,domain_range_pair_accuracy,57,0.9730114914325441
no_pattern,edge_retention,57,0.5100363681894212
no_redundancy,concept_f1,63,0.7165437838856655
no_redundancy,relation_f1,63,0.7053965817046891
no_redundancy,exact_triple_f1,63,0.6980678272343369
no_redundancy,soft_triple_f1,63,0.7001464364558033
no_redundancy,domain_range_pair_accuracy,63,0.9428130511463845
no_redundancy,edge_retention,63,0.6090248951643675
