cluster_id,target_run82_words,primera_raw_words,primera_exact_words,primera_sentence_words,primera_sentence_mismatch_pct,model_id,model_commit
test_00006,371,360,360,360,2.964959568733154,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00015,413,403,403,403,2.4213075060532687,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00027,480,453,453,453,5.625,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00039,345,312,312,312,9.565217391304348,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00046,326,290,290,290,11.042944785276074,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00058,345,303,303,303,12.173913043478262,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00062,305,269,269,269,11.80327868852459,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00067,275,246,246,246,10.545454545454543,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00091,271,224,224,224,17.343173431734318,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00094,204,181,181,181,11.27450980392157,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00096,72,103,72,66,8.333333333333332,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00104,410,390,390,390,4.878048780487805,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00110,239,212,212,212,11.297071129707112,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00112,153,139,139,139,9.15032679738562,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00153,192,163,163,163,15.104166666666666,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00155,345,304,304,304,11.884057971014492,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00210,266,245,245,245,7.894736842105263,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00217,213,204,204,204,4.225352112676056,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00223,170,187,170,155,8.823529411764707,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00226,377,358,358,358,5.039787798408488,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00228,179,171,171,171,4.46927374301676,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00239,224,293,224,217,3.125,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00242,185,191,185,183,1.0810810810810811,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00267,199,167,167,167,16.08040201005025,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00268,513,470,470,470,8.382066276803119,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00279,272,244,244,244,10.294117647058822,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00286,422,418,418,418,0.9478672985781992,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00292,234,209,209,209,10.683760683760685,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00297,262,254,254,254,3.0534351145038165,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00302,322,294,294,294,8.695652173913043,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00314,351,316,316,316,9.971509971509972,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00318,205,176,176,176,14.146341463414632,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00319,378,344,344,344,8.994708994708994,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00328,514,488,488,488,5.058365758754864,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00333,366,317,317,317,13.387978142076504,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00363,161,151,151,151,6.211180124223603,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00367,338,296,296,296,12.42603550295858,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00371,163,239,163,145,11.042944785276074,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00393,280,267,267,267,4.642857142857143,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00398,227,217,217,217,4.405286343612335,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00403,386,317,317,317,17.875647668393782,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00408,304,270,270,270,11.18421052631579,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00418,277,257,257,257,7.220216606498194,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00433,326,335,326,310,4.9079754601227,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00439,255,222,222,222,12.941176470588236,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00461,149,142,142,142,4.697986577181208,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00462,286,285,285,285,0.3496503496503496,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00480,203,199,199,199,1.9704433497536944,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
test_00492,275,240,240,240,12.727272727272728,allenai/PRIMERA-multinews,1b507148874734de104f3a5e98a69f384db616fe
