cluster_id,system,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_00006,primera_exact,0.41304347826086957,0.12582781456953643,0.19289340101522842,0.10674157303370786,0.38461538461538464,0.14285714285714285,0.20833333333333331,0.11627906976744186,0.3076923076923077,0.17391304347826086,0.2222222222222222,0.125,0.25,0.16,0.19512195121951217,0.10810810810810811,0.25,0.16,0.19512195121951217,0.25,0.3125,0.25,0.75,0.175,0.16,0.10810810810810811,0.17391304347826086,1.0,0.3,46,26,16,22,16
test_00006,primera_sentence,0.41304347826086957,0.12582781456953643,0.19289340101522842,0.10674157303370786,0.38461538461538464,0.14285714285714285,0.20833333333333331,0.11627906976744186,0.3076923076923077,0.17391304347826086,0.2222222222222222,0.125,0.25,0.16,0.19512195121951217,0.10810810810810811,0.25,0.16,0.19512195121951217,0.25,0.3125,0.25,0.75,0.175,0.16,0.10810810810810811,0.17391304347826086,1.0,0.3,46,26,16,22,16
test_00015,primera_exact,0.3829787234042553,0.1836734693877551,0.2482758620689655,0.14173228346456693,0.5151515151515151,0.26153846153846155,0.34693877551020413,0.20987654320987653,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.19230769230769232,0.0,0.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.05714285714285715,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.12195121951219512,0.0,0.0,0.22727272727272727,0.8,0.2,47,33,9,14,9
test_00015,primera_sentence,0.3829787234042553,0.1836734693877551,0.2482758620689655,0.14173228346456693,0.5151515151515151,0.26153846153846155,0.34693877551020413,0.20987654320987653,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.19230769230769232,0.0,0.0,0.0,0.0,0.1111111111111111,0.038461538461538464,0.05714285714285715,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.12195121951219512,0.0,0.0,0.22727272727272727,0.8,0.2,47,33,9,14,9
test_00027,primera_exact,0.5918367346938775,0.11026615969581749,0.1858974358974359,0.10247349823321555,0.7,0.11475409836065574,0.1971830985915493,0.109375,0.16666666666666666,0.015151515151515152,0.027777777777777776,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.058823529411764705,0.0,0.0,0.015151515151515152,0.16129032258064516,0.2,49,10,7,11,7
test_00027,primera_sentence,0.5918367346938775,0.11026615969581749,0.1858974358974359,0.10247349823321555,0.7,0.11475409836065574,0.1971830985915493,0.109375,0.16666666666666666,0.015151515151515152,0.027777777777777776,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.058823529411764705,0.0,0.0,0.015151515151515152,0.16129032258064516,0.2,49,10,7,11,7
test_00039,primera_exact,0.4375,0.1206896551724138,0.1891891891891892,0.1044776119402985,0.6111111111111112,0.19298245614035087,0.29333333333333333,0.171875,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.043478260869565216,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.04,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.11764705882352941,0.043478260869565216,0.04,0.047619047619047616,0.3,0.0,32,18,3,5,3
test_00039,primera_sentence,0.4375,0.1206896551724138,0.1891891891891892,0.1044776119402985,0.6111111111111112,0.19298245614035087,0.29333333333333333,0.171875,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.043478260869565216,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.04,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.11764705882352941,0.043478260869565216,0.04,0.047619047619047616,0.3,0.0,32,18,3,5,3
test_00046,primera_exact,0.5,0.5,0.5,0.3333333333333333,0.7647058823529411,0.40625,0.5306122448979592,0.3611111111111111,0.3333333333333333,0.14285714285714285,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.125,0.0,0.0,0.14285714285714285,1.3333333333333333,0.0,34,17,4,6,4
test_00046,primera_sentence,0.5,0.5,0.5,0.3333333333333333,0.7647058823529411,0.40625,0.5306122448979592,0.3611111111111111,0.3333333333333333,0.14285714285714285,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.125,0.0,0.0,0.14285714285714285,1.3333333333333333,0.0,34,17,4,6,4
