metric,comparison,primera_mean,comparator_mean,delta,ci95_low,ci95_high,wilcoxon_p,cohens_dz,n
concept_f1,PRIMERA_exact_minus_Run82,0.22908314322398945,0.4527905294503323,-0.22370738622634287,-0.23973529206021818,-0.20795572798797138,4.236019424782781e-82,-1.2455514264432712,500
concept_f1,PRIMERA_exact_minus_Lead-W,0.22908314322398945,0.43669686647506634,-0.20761372325107685,-0.2232532201258718,-0.19233266067001126,2.293021885184821e-82,-1.1738921702307867,500
relation_f1,PRIMERA_exact_minus_Run82,0.1580131794221269,0.4336893751255556,-0.27567619570342866,-0.29395884798221106,-0.25759569746071675,2.5042423204942e-80,-1.3204243107341422,500
relation_f1,PRIMERA_exact_minus_Lead-W,0.1580131794221269,0.41750821464889337,-0.2594950352267665,-0.27919991911260517,-0.23981683156976832,6.103898385852909e-77,-1.1527982566660981,500
exact_triple_f1,PRIMERA_exact_minus_Run82,0.06793660037667056,0.3956451362493182,-0.32770853587264764,-0.34738913803410604,-0.30766370783664054,1.780140406368743e-83,-1.4531847188899736,500
exact_triple_f1,PRIMERA_exact_minus_Lead-W,0.06793660037667056,0.3901850757572346,-0.322248475380564,-0.3436973310772736,-0.3007051717986546,2.021684382426619e-82,-1.2988441516733247,500
soft_triple_f1,PRIMERA_exact_minus_Run82,0.08386254542023118,0.3982504296077976,-0.31438788418756647,-0.33399613867324696,-0.29490187815196583,9.383723888650587e-83,-1.4070732405387876,500
soft_triple_f1,PRIMERA_exact_minus_Lead-W,0.08386254542023118,0.3902663082502318,-0.3064037628300006,-0.32753924012605784,-0.2851966885337491,1.210783365132132e-81,-1.257346290126958,500
domain_range_pair_accuracy,PRIMERA_exact_minus_Run82,0.3775231843320079,0.9662200489053431,-0.5886968645733351,-0.6176128189580027,-0.5594110048652329,4.664856219705882e-77,-1.7856852264167526,500
domain_range_pair_accuracy,PRIMERA_exact_minus_Lead-W,0.3775231843320079,0.9986273321449791,-0.6211041478129714,-0.6486074874798404,-0.5929347837538279,1.692772529752239e-76,-1.962091785420139,500
edge_retention,PRIMERA_exact_minus_Run82,0.04445757353724771,0.2840553815570379,-0.23959780801979014,-0.25882366153718595,-0.22084947830654417,6.930130313120637e-83,-1.0974022181495524,500
edge_retention,PRIMERA_exact_minus_Lead-W,0.04445757353724771,0.28572939700879624,-0.24127182347154855,-0.2619106309694101,-0.22046384315815748,1.2303514761134996e-81,-1.005287603430702,500
